iter	RMSE
0	0.3920164354
1	0.384794893
2	0.3775197001
3	0.3707592904
4	0.3638198648
5	0.3568800316
6	0.350507342
7	0.3442645109
8	0.3385398248
9	0.3324806957
10	0.3265806131
11	0.32086569
12	0.3153944452
13	0.309817338
14	0.3046644747
15	0.2994981936
16	0.2943977778
17	0.2901137221
18	0.2854746326
19	0.2810386985
20	0.2762819915
21	0.2722978425
22	0.2684252493
23	0.2643328891
24	0.2607321084
25	0.2569102085
26	0.2530790103
27	0.2495051486
28	0.2461192002
29	0.2426873725
30	0.2394798224
31	0.2360463238
32	0.2329666303
33	0.2299455454
34	0.227123485
35	0.2243764845
36	0.2214985488
37	0.2188549209
38	0.2163415544
39	0.2135126907
40	0.2109345556
41	0.2085650068
42	0.206021215
43	0.2037072729
44	0.2015971978
45	0.1995313548
46	0.1973649071
47	0.195428123
48	0.1934809509
49	0.1916285616
50	0.1897024545
51	0.1880274827
52	0.1863146632
53	0.1844462152
54	0.1828926205
55	0.1814128163
56	0.1797090758
57	0.1782389682
58	0.1766355058
59	0.1751065103
60	0.1736063376
61	0.1721387888
62	0.1706207964
63	0.1692849179
64	0.1680568887
65	0.1666637101
66	0.1653595737
67	0.1642626613
68	0.1631510434
69	0.1619830219
70	0.1607384834
71	0.1594079937
72	0.15832759
73	0.1572955067
74	0.156297333
75	0.1554753211
76	0.1546142481
77	0.1537741149
78	0.1528599329
79	0.1520162559
80	0.1512963262
81	0.1503609557
82	0.1495203876
83	0.1487586457
84	0.1478944078
85	0.1470650892
86	0.1462535829
87	0.1455416988
88	0.1447703199
89	0.1440282481
90	0.1433030822
91	0.1425656715
92	0.1417776377
93	0.141027506
94	0.1403114234
95	0.1396838086
96	0.1389759418
97	0.1384191864
98	0.1378178736
99	0.1372598814
100	0.1366753883
101	0.1361689707
102	0.1357175532
103	0.1351028702
104	0.1345672482
105	0.1340413275
106	0.1335157506
107	0.1329725245
108	0.1325395069
109	0.1320837982
110	0.1316423391
111	0.1311281391
112	0.13065598
113	0.1301490758
114	0.1296877339
115	0.1291856127
116	0.1288411622
117	0.1282815604
118	0.1278376707
119	0.127470183
120	0.1269933903
121	0.1265204402
122	0.1260644989
123	0.1256944132
124	0.1252140944
125	0.1248319824
126	0.1245192301
127	0.1241934178
128	0.1237494716
129	0.1234438357
130	0.1231455508
131	0.1228827511
132	0.1225230639
133	0.1222629354
134	0.1219994261
135	0.1217633484
136	0.1214485175
137	0.1212155787
138	0.1208122426
139	0.1203879702
140	0.1200370062
141	0.1196317687
142	0.1191738057
143	0.1189203459
144	0.1186996884
145	0.1183408071
146	0.1180532236
147	0.1176729227
148	0.1174061746
149	0.1171417
150	0.1168715186
151	0.1166348991
152	0.1163331539
153	0.1159163142
154	0.1156002497
155	0.115239632
156	0.1149781585
157	0.1147454111
158	0.1143804173
159	0.1140957719
160	0.1138731348
161	0.113638031
162	0.1133829142
163	0.1131045831
164	0.1128848463
165	0.1126315563
166	0.1123740553
167	0.1120591085
168	0.1117595906
169	0.1114690193
170	0.1112629113
171	0.1110325573
172	0.1107852169
173	0.1106055242
174	0.1104254537
175	0.1102054785
176	0.1100779046
177	0.1099579733
178	0.109735149
179	0.1095108696
180	0.1092900644
181	0.1090676894
182	0.1088898971
183	0.1087397722
184	0.1085646297
185	0.1084154917
186	0.1082760662
187	0.1080239538
188	0.107847572
189	0.1076874398
190	0.1075058765
191	0.107363875
192	0.1072595017
193	0.1070954034
194	0.1069510501
195	0.1067978096
196	0.1067014112
197	0.1064742033
198	0.1062429298
199	0.1061210707
200	0.1059555578
201	0.1057650001
202	0.1055725857
203	0.1054400972
204	0.1052804615
205	0.1051071898
206	0.1048771152
207	0.1046747448
208	0.1045133212
209	0.1043584371
210	0.1041607712
211	0.1039712238
212	0.1037902822
213	0.1037047544
214	0.1035013237
215	0.1033115284
216	0.1032068452
217	0.1030412218
218	0.1028384067
219	0.1026921798
220	0.1025656752
221	0.1024267652
222	0.1023330876
223	0.1021817267
224	0.1020308714
225	0.1019083928
226	0.1017768348
227	0.1016131151
228	0.1014650784
229	0.1013578592
230	0.1011622197
231	0.101030179
232	0.1008822604
233	0.100700909
234	0.1005714054
235	0.100397311
236	0.1002665491
237	0.1000814421
238	0.09992903609
239	0.09984797305
240	0.09973520668
241	0.09960991493
242	0.09951190542
243	0.09940238764
244	0.09924685419
245	0.09909089462
246	0.09893508012
247	0.09881381599
248	0.09876987175
249	0.09868215717
250	0.0986133684
251	0.0984693926
252	0.09836229702
253	0.09822646988
254	0.09808036377
255	0.09797221134
256	0.09781200722
257	0.09768861791
258	0.09752828048
259	0.09741542824
260	0.09735583618
261	0.09722216372
262	0.09712443194
263	0.09700005845
264	0.09690511008
265	0.0968504492
266	0.09670638559
267	0.09653752571
268	0.09642640079
269	0.09632681146
270	0.0961798385
271	0.09602852798
272	0.09591464395
273	0.0958123958
274	0.09576234351
275	0.09561670123
276	0.09548912205
277	0.09543134773
278	0.09533318084
279	0.09520071219
280	0.0950605006
281	0.09496514233
282	0.09490687921
283	0.09478893911
284	0.09470762331
285	0.09461441242
286	0.09445896825
287	0.09440073105
288	0.09423757623
289	0.09414288012
290	0.09405402843
291	0.09386424397
292	0.09379613831
293	0.09362564894
294	0.09351191285
295	0.09340954108
296	0.09323970743
297	0.09309103019
298	0.09296068064
299	0.09283918891
300	0.0927141255
301	0.09254520477
302	0.0924416412
303	0.09235518301
304	0.09222790028
305	0.09210801915
306	0.09207514655
307	0.09194214832
308	0.09184496007
309	0.09172754155
