iter	Passed	Remaining
0	6	20958
1	11	16549
2	13	13684
3	15	11791
4	17	10563
5	19	9601
6	21	9367
7	23	8940
8	25	8474
9	26	8068
10	28	7822
11	30	7616
12	32	7395
13	33	7210
14	35	7019
15	37	6973
16	38	6842
17	40	6705
18	42	6600
19	43	6465
20	44	6353
21	46	6280
22	48	6214
23	49	6134
24	51	6100
25	52	6031
26	55	6064
27	56	6044
28	58	6017
29	61	6042
30	62	6013
31	64	5989
32	66	5997
33	68	5996
34	70	5992
35	72	5992
36	76	6101
37	79	6181
38	82	6231
39	84	6233
40	86	6207
41	88	6199
42	90	6212
43	91	6180
44	93	6163
45	95	6149
46	98	6162
47	100	6181
48	102	6201
49	105	6207
50	107	6226
51	111	6318
52	114	6351
53	116	6333
54	118	6325
55	120	6335
56	122	6318
57	124	6315
58	126	6288
59	127	6268
60	129	6257
61	131	6237
62	133	6228
63	135	6226
64	137	6216
65	139	6200
66	141	6209
67	144	6222
68	147	6254
69	149	6243
70	151	6233
71	153	6234
72	155	6247
73	161	6374
74	163	6384
75	165	6377
76	167	6361
77	169	6357
78	171	6351
79	173	6341
80	175	6331
81	177	6319
82	179	6304
83	181	6296
84	183	6304
85	186	6328
86	188	6312
87	190	6298
88	192	6286
89	194	6284
90	196	6273
91	198	6261
92	199	6246
93	201	6237
94	203	6227
95	205	6226
96	207	6214
97	209	6201
98	211	6184
99	212	6172
100	214	6159
101	216	6163
102	218	6154
103	220	6143
104	222	6133
105	224	6128
106	226	6133
107	228	6122
108	230	6113
109	232	6119
110	234	6111
111	236	6096
112	238	6091
113	239	6075
114	241	6059
115	243	6044
116	244	6024
117	246	6024
118	248	6017
119	250	6012
120	252	6004
121	254	5999
122	256	6000
123	258	6000
124	260	5996
125	262	5991
126	264	5990
127	266	5989
128	268	5986
129	271	5985
130	272	5977
131	274	5972
132	276	5970
133	278	5962
134	280	5953
135	282	5946
136	284	5943
137	286	5934
138	288	5931
139	290	5927
140	291	5918
141	293	5905
142	295	5899
143	297	5896
144	299	5899
145	301	5895
146	304	5902
147	306	5913
148	309	5924
149	312	5933
150	314	5931
151	316	5928
152	318	5921
153	320	5917
154	321	5908
155	323	5904
156	325	5899
157	327	5899
158	329	5892
159	331	5887
160	333	5886
161	335	5882
162	338	5892
163	341	5900
164	343	5894
165	344	5886
166	346	5879
167	348	5873
168	350	5868
169	352	5866
170	354	5866
171	356	5861
172	358	5857
173	360	5852
174	362	5847
175	364	5842
176	366	5841
177	368	5838
178	370	5838
179	372	5843
180	375	5849
181	378	5863
182	381	5873
183	383	5867
184	385	5864
185	387	5855
186	389	5853
187	391	5848
188	393	5845
189	394	5839
190	397	5840
191	399	5841
192	401	5836
193	403	5831
194	405	5829
195	407	5830
196	410	5834
197	412	5839
198	414	5832
199	416	5826
200	417	5818
201	419	5815
202	421	5808
203	423	5800
204	425	5796
205	427	5793
206	428	5785
207	430	5783
208	432	5779
209	434	5774
210	436	5767
211	437	5758
212	439	5750
213	440	5739
214	442	5734
215	444	5730
216	446	5726
217	448	5719
218	449	5712
219	451	5705
220	453	5702
221	456	5709
222	458	5705
223	459	5700
224	461	5694
225	463	5693
226	465	5690
227	467	5687
228	469	5685
229	472	5685
230	474	5685
231	476	5679
232	478	5678
233	480	5677
234	482	5676
235	484	5672
236	486	5673
237	488	5672
238	491	5677
239	494	5682
240	496	5682
241	498	5677
242	499	5672
243	501	5667
244	503	5664
245	505	5661
246	507	5654
247	509	5649
248	510	5645
249	512	5640
250	514	5636
251	517	5638
252	518	5633
253	521	5633
254	523	5632
255	525	5633
256	529	5653
257	533	5665
258	536	5673
259	538	5676
260	541	5685
261	544	5689
262	548	5708
263	551	5711
264	553	5713
265	555	5713
266	558	5714
267	560	5716
268	567	5760
269	570	5772
270	573	5771
271	575	5772
272	580	5798
273	582	5799
274	585	5797
275	587	5799
276	593	5837
277	600	5884
278	611	5960
279	615	5978
280	618	5989
281	621	5987
282	623	5981
283	625	5983
284	628	5983
285	630	5979
286	631	5972
287	633	5969
288	636	5971
289	638	5969
290	641	5967
291	643	5965
292	644	5958
293	646	5953
294	649	5954
295	651	5953
296	654	5957
297	657	5957
298	659	5959
299	661	5955
300	663	5951
301	665	5948
302	667	5944
303	669	5938
304	671	5934
305	674	5937
306	676	5931
307	677	5923
308	679	5917
309	681	5915
310	683	5912
311	685	5907
312	687	5902
313	689	5896
314	691	5891
315	693	5889
316	695	5883
317	696	5877
318	698	5871
319	700	5865
320	702	5858
321	704	5859
322	706	5854
323	708	5847
324	709	5841
325	711	5834
326	713	5830
327	715	5825
328	716	5818
329	718	5813
330	720	5809
331	722	5809
332	724	5804
333	726	5800
334	728	5798
335	731	5799
336	734	5801
337	736	5797
338	738	5794
339	740	5791
340	742	5788
341	745	5791
342	748	5794
343	749	5790
344	751	5787
345	753	5783
346	756	5780
347	758	5778
348	760	5774
349	762	5774
350	764	5768
351	766	5764
352	768	5759
353	770	5756
354	771	5751
355	773	5746
356	775	5740
357	777	5736
358	779	5734
359	781	5729
360	783	5724
361	785	5721
362	786	5715
363	788	5712
364	790	5709
365	792	5706
366	794	5701
367	796	5696
368	798	5690
369	799	5685
370	801	5680
371	803	5678
372	805	5676
373	808	5675
374	810	5672
375	812	5673
376	814	5669
377	817	5670
378	820	5672
379	823	5676
380	828	5692
381	832	5705
382	839	5735
383	843	5749
384	847	5755
385	852	5773
386	856	5783
387	859	5783
388	861	5783
389	864	5784
390	866	5782
391	869	5782
392	871	5784
393	874	5781
394	876	5779
395	878	5777
396	880	5775
397	883	5773
398	885	5770
399	888	5775
400	891	5776
401	893	5776
402	897	5780
403	899	5779
404	902	5779
405	904	5780
406	907	5780
407	910	5783
408	914	5790
409	919	5806
410	922	5811
411	926	5817
412	929	5823
413	932	5825
414	936	5833
415	944	5866
416	947	5868
417	951	5877
418	953	5876
419	958	5885
420	961	5893
421	965	5895
422	968	5898
423	970	5898
424	973	5898
425	976	5899
426	978	5896
427	981	5896
428	984	5897
429	986	5897
430	990	5901
431	992	5902
432	997	5913
433	1000	5914
434	1002	5914
435	1007	5924
436	1010	5923
437	1014	5932
438	1017	5935
439	1020	5935
440	1023	5936
441	1025	5937
442	1029	5939
443	1032	5943
444	1035	5943
445	1037	5943
446	1041	5950
447	1044	5952
448	1047	5953
449	1050	5954
450	1052	5951
451	1055	5950
452	1057	5947
453	1060	5944
454	1062	5942
455	1066	5947
456	1068	5946
457	1071	5944
